cond,id,age,thetaBB,likBB,Gamenr_n
4,1,1,1.628914043,134.9656314,1
4,1,1,1.131779164,131.2938101,2
4,1,1,0.407010643,91.35868208,3
4,1,1,1.314091485,133.2517609,4
4,1,1,0.899898543,127.4194782,5
4,1,1,0.546837165,114.0900477,6
4,1,1,0.61147612,109.0532619,7
4,1,1,0.812919588,126.0531565,8
4,2,1,1.451687754,134.6082377,9
4,2,1,1.515912257,134.5415379,10
4,2,1,0.806865756,122.5523462,11
4,2,1,0.446695915,85.31742923,12
4,2,1,1.191282473,131.702044,13
4,2,1,0.518837384,107.5269606,14
4,2,1,0.434785107,86.71994963,15
4,2,1,0.34713992,69.94297676,16
4,3,1,1.41975631,133.9884006,17
4,3,1,0.003,72.35734053,18
4,3,1,0.003,120.8440063,19
4,3,1,30,138.6777668,20
4,3,1,0.553142888,117.446736,21
4,3,1,0.350370958,76.37324231,22
4,3,1,0.376604216,75.68459747,23
4,3,1,0.555043084,119.5134197,24
4,4,1,23.91316047,138.6262118,25
4,4,1,0.962361457,127.2281349,26
4,4,1,30,138.6659445,27
4,4,1,5.270383112,138.2734418,28
4,4,1,27.15499506,138.5902395,29
4,4,1,30,138.7195999,30
4,4,1,1.951530387,136.0077337,31
4,4,1,9.180924859,138.516366,32
4,5,1,1.10168357,131.4537266,33
4,5,1,0.623129095,119.7064458,34
4,5,1,0.378799107,80.28989199,35
4,5,1,0.003,92.57340735,36
4,5,1,0.283285457,51.48134681,37
4,5,1,0.003,74.04736609,38
4,5,1,0.372948804,77.3820968,39
4,5,1,0.003,106.1012358,40
4,6,1,0.321648782,92.51090486,41
4,6,1,0.386496137,86.59876252,42
4,6,1,0.003,17.29438734,43
4,6,1,0.280167469,53.22364649,44
4,6,1,0.003,23.90131967,45
4,6,1,0.003,23.34159298,46
4,6,1,0.769430132,132.6246353,47
4,6,1,0.003,106.8282943,48
4,7,1,0.393671032,94.45286348,49
4,7,1,0.003,127.8053309,50
4,7,1,1.121493906,129.8801824,51
4,7,1,1.31742973,133.7342278,52
4,7,1,30,138.6230636,53
4,7,1,2.010091911,136.6851947,54
4,7,1,0.791927171,120.2017417,55
4,7,1,0.673543835,120.8043142,56
4,8,1,0.003,58.72777813,57
4,8,1,0.21034421,31.40016358,58
4,8,1,0.003,30.80907495,59
4,8,1,0.639776464,131.5705053,60
4,8,1,0.524615655,110.2636271,61
4,8,1,0.003,22.1095602,62
4,8,1,0.583178221,115.8557634,63
4,8,1,0.156764607,92.29568632,64
4,9,1,0.978708134,131.7822119,65
4,9,1,0.613803212,112.371966,66
4,9,1,0.699377026,114.9815371,67
4,9,1,0.411030858,79.17898408,68
4,9,1,0.429126542,88.25559964,69
4,9,1,0.719061491,119.686264,70
4,9,1,0.003,100.5797749,71
4,9,1,0.574367113,107.7038447,72
4,10,1,2.436212584,136.8839896,73
4,10,1,1.957133396,136.0983073,74
4,10,1,3.33179263,137.8362589,75
4,10,1,0.469679906,97.91611799,76
4,10,1,0.441473106,93.62934067,77
4,10,1,0.811102083,121.7481065,78
4,10,1,0.003,93.67201964,79
4,10,1,0.003,120.6098936,80
4,11,1,0.003,23.90131967,81
4,11,1,0.003,99.3586583,82
4,11,1,0.003,51.10603459,83
4,11,1,0.003,59.13324324,84
4,11,1,0.003,106.3648811,85
4,11,1,0.375657331,76.41297913,86
4,11,1,0.107428119,11.53693371,87
4,11,1,0.003,10.21818791,88
4,12,1,0.003,71.85014151,89
4,12,1,2.559023736,137.3157604,90
4,12,1,0.463035417,101.0472414,91
4,12,1,28.01395478,138.6456486,92
4,12,1,0.003,100.0835627,93
4,12,1,0.772230845,118.796423,94
4,12,1,0.197868758,28.79116076,95
4,12,1,30,138.8546166,96
4,13,1,0.359532411,99.02678221,97
4,13,1,0.003,100.7767099,98
4,13,1,0.003,72.42189672,99
4,13,1,0.393638353,79.62195727,100
4,13,1,0.003,79.1972732,101
4,13,1,0.003,58.63703105,102
4,13,1,0.003,37.94767652,103
4,13,1,0.003,100.0835627,104
4,14,1,0.341003078,79.104313,105
4,14,1,0.347450349,67.51228011,106
4,14,1,0.224425107,35.30398122,107
4,14,1,0.003,58.03463095,108
4,14,1,0.003,3.17805383,109
4,14,1,0.003,32.4262156,110
4,14,1,0.221113585,84.06562822,111
4,14,1,0.315930407,54.06096383,112
4,15,1,0.835841149,127.8921384,113
4,15,1,0.973200193,126.6064622,114
4,15,1,0.98501655,126.9664366,115
4,15,1,1.880441957,135.6795048,116
4,15,1,2.383179009,136.7505043,117
4,15,1,1.355412569,132.7331743,118
4,15,1,1.528694966,134.0118769,119
4,15,1,1.244764618,131.5841281,120
4,16,1,0.957855913,126.6143935,121
4,16,1,0.740471942,118.6784932,122
4,16,1,1.340657019,133.6342428,123
4,16,1,1.739102339,135.1449962,124
4,16,1,1.196720091,131.6880379,125
4,16,1,0.851607466,122.6193753,126
4,16,1,0.880384593,125.4734331,127
4,16,1,1.362187257,133.355303,128
4,17,1,0.789500262,122.7875553,129
4,17,1,0.703801962,118.4166909,130
4,17,1,0.353709694,67.56757677,131
4,17,1,0.512246625,97.82123779,132
4,17,1,0.589042238,111.6408743,133
4,17,1,0.569319967,106.717694,134
4,17,1,0.003,125.7258894,135
4,17,1,0.546699752,114.321736,136
4,18,1,4.931877124,138.237038,137
4,18,1,30,138.6496894,138
4,18,1,3.259494905,137.6957018,139
4,18,1,30,138.813476,140
4,18,1,11.88613931,138.5711899,141
4,18,1,3.338753323,137.7988794,142
4,18,1,3.611726399,137.9316397,143
4,18,1,30,138.8954947,144
4,19,1,0.691631397,118.2068323,145
4,19,1,0.358405398,89.61218209,146
4,19,1,0.518077504,120.8402044,147
4,19,1,0.003,120.7105151,148
4,19,1,0.319862956,86.4212664,149
4,19,1,0.344691416,68.8348251,150
4,19,1,0.003,72.52036421,151
4,19,1,0.288381336,62.93959624,152
4,20,1,0.531656281,101.5803998,153
4,20,1,0.665754384,117.3232842,154
4,20,1,1.034382166,131.8198585,155
4,20,1,1.441096874,134.6795416,156
4,20,1,0.672858194,121.4992513,157
4,20,1,0.687353549,119.262684,158
4,20,1,0.520667506,108.5643437,159
4,20,1,0.39875338,92.46897657,160
4,21,1,3.59526985,137.8717467,161
4,21,1,30,138.7994539,162
4,21,1,2.659655799,137.3565978,163
4,21,1,30,138.6876654,164
4,21,1,30,138.7513945,165
4,21,1,2.364604254,136.8790311,166
4,21,1,30,138.8081969,167
4,21,1,3.069970474,137.6817436,168
4,22,1,0.309697943,82.6055491,169
4,22,1,0.550669903,109.8118536,170
4,22,1,0.003,87.96461055,171
4,22,1,0.003,98.39027075,172
4,22,1,0.34140479,80.0899044,173
4,22,1,0.264104344,53.74048815,174
4,22,1,0.317243337,69.07709879,175
4,22,1,1.24529061,132.2895231,176
4,23,1,1.189035027,132.8611597,177
4,23,1,0.765909455,119.4401697,178
4,23,1,0.690907797,115.8250121,179
4,23,1,1.304512625,132.9038546,180
4,23,1,1.025327731,128.4399116,181
4,23,1,0.820155286,123.5921222,182
4,23,1,0.536307471,99.36792741,183
4,23,1,1.181864495,131.6454184,184
4,24,1,1.428091272,133.3735984,185
4,24,1,0.691356436,116.2978442,186
4,24,1,3.600516457,137.906904,187
