cond,id,age,thetaBB,likBB,Gamenr_n
8,1,1,0.606003178,188.0040081,1
8,1,1,0.328864262,136.0670585,2
8,1,1,0.348019231,139.8700838,3
8,1,1,0.003,161.3903729,4
8,1,1,0.674446323,193.9214886,5
8,1,1,0.368164124,175.3979081,6
8,1,1,0.592410463,189.0936681,7
8,1,1,0.362108614,164.5883234,8
8,2,1,0.607486463,185.0006295,9
8,2,1,0.368956815,150.4903429,10
8,2,1,0.577746262,185.9352621,11
8,2,1,0.536667155,176.5305046,12
8,2,1,0.452237459,159.3080044,13
8,2,1,0.605445561,185.8847068,14
8,2,1,0.532390832,184.7751767,15
8,2,1,0.700454532,192.1628076,16
8,3,1,0.359315143,126.9774497,17
8,3,1,0.318056997,162.3463982,18
8,3,1,0.344155169,184.3540677,19
8,3,1,0.337619413,162.1773317,20
8,3,1,0.406384026,165.5517278,21
8,3,1,0.575095233,188.9824617,22
8,3,1,0.461828799,182.255086,23
8,3,1,0.298524505,139.4103312,24
8,4,1,2.015736888,206.5510324,25
8,4,1,2.591698768,206.9462575,26
8,4,1,0.531971909,183.341953,27
8,4,1,30,208.1592232,28
8,4,1,6.918114517,207.8445697,29
8,4,1,1.562879586,205.2029473,30
8,4,1,30,208.0010033,31
8,4,1,1.657952608,205.5073661,32
8,5,1,0.365953994,163.6525032,33
8,5,1,0.504353926,185.8619942,34
8,5,1,0.294621146,156.1131005,35
8,5,1,0.003,116.474727,36
8,5,1,0.003,180.5916251,37
8,5,1,0.003,84.35403612,38
8,5,1,0.287562768,139.3046461,39
8,5,1,0.454927154,170.751485,40
8,6,1,0.632947532,194.8917733,41
8,6,1,0.003,31.10567193,42
8,6,1,0.03466663,103.7206789,43
8,6,1,0.005921705,6.710761654,44
8,6,1,0.283150124,165.7581471,45
8,6,1,0.394457339,160.9542607,46
8,6,1,0.272771118,183.6049213,47
8,6,1,0.171888883,160.5753043,48
8,7,1,0.522754396,169.9916245,49
8,7,1,0.495390966,173.8629028,50
8,7,1,0.524994318,188.1450207,51
8,7,1,0.770160472,196.6145548,52
8,7,1,0.879511618,197.1145432,53
8,7,1,0.781961293,194.774935,54
8,7,1,0.531669628,191.8737188,55
8,7,1,0.702848058,193.8055253,56
8,8,1,0.683584787,188.4470773,57
8,8,1,0.101124803,108.3168871,58
8,8,1,0.289612214,142.7162283,59
8,8,1,0.239563023,159.2483995,60
8,8,1,0.221180645,102.169238,61
8,8,1,0.935653623,205.4765191,62
8,8,1,0.512007654,198.3445125,63
8,8,1,0.617673747,198.5794803,64
8,9,1,0.70953951,188.8582209,65
8,9,1,0.417082509,164.3217151,66
8,9,1,0.391129082,149.2311439,67
8,9,1,0.449356659,158.5599246,68
8,9,1,0.451502656,163.8341733,69
8,9,1,0.306791335,129.3890893,70
8,9,1,0.395500546,174.2080903,71
8,9,1,0.677344613,190.234888,72
8,10,1,30,208.1373039,73
8,10,1,1.629192496,205.7628619,74
8,10,1,30,207.9737317,75
8,10,1,0.845582298,199.5630155,76
8,10,1,0.624854907,186.246464,77
8,10,1,0.746649995,193.9934962,78
8,10,1,0.749152652,192.6454104,79
8,10,1,0.638618774,188.9431843,80
8,11,1,0.003,161.3903729,81
8,11,1,0.395029009,177.8390717,82
8,11,1,0.003,107.3131768,83
8,11,1,0.007860092,26.17769281,84
8,11,1,0.224610751,98.49422248,85
8,11,1,0.251434587,131.6960621,86
8,11,1,0.230287265,106.9935021,87
8,11,1,0.003,190.3354873,88
8,12,1,0.577527295,187.5317873,89
8,12,1,0.390213953,179.7505725,90
8,12,1,0.73424544,195.4971337,91
8,12,1,0.034410008,99.81823267,92
8,12,1,0.687656155,197.7004919,93
8,12,1,30,207.9801817,94
8,12,1,0.731493012,194.3324865,95
8,12,1,0.784751045,199.2131884,96
8,13,1,0.003,170.2440384,97
8,13,1,0.359811178,170.0681219,98
8,13,1,0.320943363,138.768803,99
8,13,1,0.28010363,108.8894337,100
8,13,1,1.156777741,204.9737719,101
8,13,1,0.003,201.0599769,102
8,13,1,0.078096183,170.3670253,103
8,13,1,2.002373777,206.7732515,104
8,14,1,0.521381395,175.9104741,105
8,14,1,0.003,105.6981899,106
8,14,1,0.324299586,146.6953645,107
8,14,1,0.210795078,92.72132057,108
8,14,1,0.351890755,139.0281527,109
8,14,1,0.003,147.0357716,110
8,14,1,0.003,58.36636422,111
8,14,1,0.202513961,140.1639773,112
8,15,1,0.898537522,196.5825807,113
8,15,1,0.754907035,195.6821524,114
8,15,1,0.782144787,194.5447653,115
8,15,1,0.47674452,172.4923311,116
8,15,1,0.859539125,199.9429796,117
8,15,1,1.158213106,202.2747459,118
8,15,1,1.332150887,203.299173,119
8,15,1,1.745058682,206.3028452,120
8,16,1,0.635797124,188.5805174,121
8,16,1,0.623480781,185.3035718,122
8,16,1,0.507591409,178.8132183,123
8,16,1,0.74652132,193.7029421,124
8,16,1,0.531946426,185.54914,125
8,16,1,0.976413073,199.7592046,126
8,16,1,0.717429523,193.854414,127
8,16,1,0.90099969,199.8049084,128
8,17,1,0.522037412,178.5875638,129
8,17,1,0.414631759,156.6511065,130
8,17,1,0.003,156.8960565,131
8,17,1,0.337443163,132.069233,132
8,17,1,0.267258555,138.3545806,133
8,17,1,0.309731541,143.6049993,134
8,17,1,0.078083384,170.3670256,135
8,17,1,0.003,170.2215974,136
8,18,1,20.84874436,207.9479103,137
8,18,1,0.951691329,201.297012,138
8,18,1,1.083259519,202.3140662,139
8,18,1,0.911949996,198.6776118,140
8,18,1,14.44430299,207.9223075,141
8,18,1,6.099309182,207.7941351,142
8,18,1,1.104325856,202.8147501,143
8,18,1,28.28054964,207.9195113,144
8,19,1,0.003,2.512001508,145
8,19,1,0.003967098,51.24710305,146
8,19,1,0.008834031,92.38511628,147
8,19,1,0.003,52.37963864,148
8,19,1,0.248363298,143.6328491,149
8,19,1,0.298776101,140.8560064,150
8,19,1,0.352490618,174.3606353,151
8,19,1,0.339823841,153.7084336,152
8,20,1,0.976540131,201.3002318,153
8,20,1,0.33631671,164.1351688,154
8,20,1,0.335558932,161.9304346,155
8,20,1,0.416638495,179.3914101,156
8,20,1,0.884092553,202.2530863,157
8,20,1,0.246271912,142.5170346,158
8,20,1,0.823266476,202.7951617,159
8,20,1,0.422577604,179.8138815,160
8,21,1,1.823762063,205.9840915,161
8,21,1,2.656033519,207.0303662,162
8,21,1,5.127785556,207.72063,163
8,21,1,5.446261325,207.7394898,164
8,21,1,1.80655922,205.9732463,165
8,21,1,30,208.0508176,166
8,21,1,2.423369646,206.754907,167
8,21,1,1.483908433,204.8141387,168
8,22,1,0.721639097,191.8906602,169
8,22,1,0.003,59.71995389,170
8,22,1,0.710841901,196.4371872,171
8,22,1,0.198495662,135.8932848,172
8,22,1,0.377393936,167.5874273,173
8,22,1,0.570310052,191.685801,174
8,22,1,0.342823316,173.3146257,175
8,22,1,0.926638342,200.802751,176
8,23,1,0.555694636,175.4211562,177
8,23,1,0.638074037,186.3277574,178
8,23,1,0.707487307,197.4790589,179
8,23,1,0.62889321,188.838842,180
8,23,1,0.866026438,198.1007281,181
8,23,1,0.714103009,191.3357412,182
8,23,1,0.407326037,168.1644043,183
8,23,1,0.371215989,162.2238467,184
8,24,1,0.68162168,192.6188667,185
8,24,1,0.52464189,174.2022424,186
8,24,1,0.48148355,188.8675829,187
8,24,1,0.828068276,197.2644021,188
8,24,1,0.979527824,205.0741848,189
8,24,1,0.218165758,146.9662696,190
8,24,1,0.441902257,170.8018577,191
8,24,1,0.745854088,200.1888747,192
8,25,1,1.191590756,203.466581,193
8,25,1,0.581943397,191.03021,194
8,25,1,0.003,141.8519532,195
8,25,1,0.322896032,117.8906037,196
8,25,1,0.765932008,194.6325133,197
8,25,1,0.61626808,186.6286913,198
8,25,1,0.43433507,171.6146903,199
8,25,1,0.699040509,191.5870695,200
8,26,1,1.155269783,203.6750773,201
8,26,1,1.43034264,204.9051054,202
8,26,1,0.914365451,202.017978,203
8,26,1,0.519063481,176.8811396,204
8,26,1,0.406284463,159.9124012,205
8,26,1,0.502213735,180.026763,206
8,26,1,0.729537813,198.3841579,207
8,26,1,1.097045513,202.5967033,208
8,27,1,0.54175867,173.4213539,209
8,27,1,0.336873129,157.3887112,210
8,27,1,0.810848484,195.8406144,211
8,27,1,0.474753861,166.1920933,212
8,27,1,0.56111259,184.5021957,213
8,27,1,0.453316291,181.9438155,214
8,27,1,2.518767125,207.0816483,215
8,27,1,0.469940512,169.9844233,216
8,28,1,0.396468282,153.0987289,217
8,28,1,0.287925858,131.2912081,218
8,28,1,0.311558412,152.1670273,219
8,28,1,0.348640808,146.4891918,220
8,28,1,0.401747059,163.9979297,221
8,28,1,0.490467641,171.8785226,222
8,28,1,0.419506456,155.6055742,223
8,28,1,0.525766656,175.8877648,224
8,29,1,7.234658407,207.8344509,225
8,29,1,6.748750356,207.8394356,226
8,29,1,1.610681986,205.8321831,227
8,29,1,1.369994293,204.5135258,228
8,29,1,3.391045591,207.4403447,229
8,29,1,24.13050297,207.9524884,230
8,29,1,1.110876436,203.4556318,231
8,29,1,30,207.9459011,232
8,101,2,0.414354119,161.4172601,233
8,101,2,0.333771267,162.0346072,234
8,101,2,0.264131056,148.7211364,235
8,101,2,0.003,2.512001508,236
8,101,2,0.500767874,189.3668527,237
8,101,2,0.224758012,151.1353684,238
8,101,2,0.20304704,166.3381132,239
8,101,2,0.22188626,195.0081838,240
8,102,2,0.344387033,188.8205815,241
8,102,2,1.03615505,203.3053033,242
8,102,2,30,208.1789483,243
8,102,2,0.411978284,186.9154146,244
8,102,2,30,208.2972193,245
8,102,2,1.313125701,204.8177779,246
8,102,2,0.305481348,157.0750849,247
8,102,2,0.623258147,193.1682252,248
8,103,2,5.310455945,207.7245317,249
8,103,2,30,207.9745338,250
8,103,2,30,208.0792375,251
8,103,2,30,208.1568102,252
8,103,2,2.540277495,207.0544462,253
8,103,2,30,208.0663586,254
8,103,2,30,208.1125642,255
8,103,2,30,208.093553,256
8,104,2,0.651583528,195.6972484,257
8,104,2,0.374250422,154.4928465,258
8,104,2,0.440763764,171.7725704,259
8,104,2,0.503968276,173.1775171,260
8,104,2,0.437617337,166.844223,261
8,104,2,0.472215477,170.3370597,262
8,104,2,0.371426112,156.2771794,263
8,104,2,0.426842556,168.8239959,264
8,105,2,0.003,188.4144807,265
8,105,2,0.231912611,139.3877828,266
8,105,2,0.266258868,159.0393906,267
8,105,2,0.268421868,104.4273178,268
8,105,2,0.266921626,151.2562298,269
8,105,2,0.3605172,164.4212623,270
