ID	Payoff1	Payoff2	Prob1	Prob2
1	1	0	0.375	0.625
2	1	0	0.45	0.55
3	1	0	0.525	0.475
4	1	0	0.075	0.925
5	1	0	0.15	0.85
6	1	0	0.6	0.4
7	1	0	0.3	0.7
8	1	0	0.225	0.775
