ID	Payoff1	Payoff2	Prob1	Prob2
1	1	0	0.075	0.925
2	1	0	0.225	0.775
3	1	0	0.3	0.7
4	1	0	0.15	0.85
5	1	0	0.375	0.625
6	1	0	0.45	0.55
7	1	0	0.6	0.4
8	1	0	0.525	0.475
